height;width;name
120;160;QQVGA
160;240;HQVGA
240;320;QVGA
240;360;WQVGA
240;384;WQVGA
240;400;WQVGA
240;432;FWQVGA
320;480;HVGA
480;640;VGA
480;720;WVGA
480;768;WVGA
480;800;WVGA
480;848;
480;854;FWVGA
480;960;FWVGA
540;960;qHD
576;768;PAL
576;1024;WSVGA
600;800;SVGA
600;1024;WSVGA
640;960;DVGA
640;1136;
720;960;
720;1280;HD
768;1024;XGA
768;1152;WXGA
768;1280;WXGA
768;1360;
768;1366;(F)WXGA
800;1280;WXGA
864;1152;XGA+
864;1280;WXGA+
900;1440;WXGA+
900;1600;HD+
960;1280;SXGA?
960;1440;FWXGA+
1024;1280;SXGA
1024;1536;DXGA
1024;1600;WSXGA
1050;1400;SXGA+
1050;1680;WSXGA+
1080;1280;
1080;1440;
1080;1920;(F)HD
1080;2160;
1080;2520;
1080;2560;UWFHD
1080;2280;
1080;2340;
1152;2048;QWXGA
1200;1600;UXGA
1200;1920;WUXGA
1440;2160;FHD+
1440;2560;(W)QHD
1440;2880;
1440;2960;
1440;3040;
1440;3120;
1440;3200;
1440;3440;UWQHD
1536;2048;QXGA
1600;2560;WQXGA
1600;3840;UW4K
1620;2880;3K
1800;2880;WQXGA+
1800;3200;QHD+
2048;2560;QSXGA
2048;3200;WQSXGA
2100;2800;QSXGA+
2160;3840;4K UHD
2160;4096;4K DCI
2400;3200;QUXGA
2400;3840;WQUXGA
2880;5120;5K
4320;7680;8K UHD
4320;10240;10K
